Frame,Speed,Date,Time,Km marker
473,225,18/10/2023,16:00:43,021+746
474,225,18/10/2023,16:00:43,021+746
475,225,18/10/2023,16:00:43,021+751
476,225,18/10/2023,16:00:43,021+756
477,225,18/10/2023,16:00:43,021+756
478,225,18/10/2023,16:00:43,021+761
479,225,18/10/2023,16:00:43,021+766
480,225,18/10/2023,16:00:43,021+771
481,225,18/10/2023,16:00:43,021+771
482,225,18/10/2023,16:00:43,021+776
483,225,18/10/2023,16:00:43,021+781
484,225,18/10/2023,16:00:43,021+786
485,225,18/10/2023,16:00:43,021+786
486,225,18/10/2023,16:00:43,021+791
487,226,18/10/2023,16:00:43,021+796
488,226,18/10/2023,16:00:43,021+796
489,226,18/10/2023,16:00:44,021+801
490,226,18/10/2023,16:00:44,021+806
491,226,18/10/2023,16:00:44,021+811
492,226,18/10/2023,16:00:44,021+811
493,226,18/10/2023,16:00:44,021+816
494,226,18/10/2023,16:00:44,021+821
495,226,18/10/2023,16:00:44,021+826
496,226,18/10/2023,16:00:44,021+826
497,226,18/10/2023,16:00:44,021+831
498,226,18/10/2023,16:00:44,021+836
499,226,18/10/2023,16:00:44,021+836
500,226,18/10/2023,16:00:44,021+841
501,226,18/10/2023,16:00:44,021+846
502,226,18/10/2023,16:00:44,021+851
503,226,18/10/2023,16:00:44,021+851
504,226,18/10/2023,16:00:44,021+856
505,227,18/10/2023,16:00:44,021+861
506,227,18/10/2023,16:00:45,021+866
507,227,18/10/2023,16:00:45,021+866
508,227,18/10/2023,16:00:45,021+871
509,227,18/10/2023,16:00:45,021+876
510,227,18/10/2023,16:00:45,021+881
511,227,18/10/2023,16:00:45,021+881
512,227,18/10/2023,16:00:45,021+886
513,227,18/10/2023,16:00:45,021+891
514,227,18/10/2023,16:00:45,021+891
515,227,18/10/2023,16:00:45,021+896
516,227,18/10/2023,16:00:45,021+901
517,227,18/10/2023,16:00:45,021+906
518,227,18/10/2023,16:00:45,021+906
519,227,18/10/2023,16:00:45,021+911
520,228,18/10/2023,16:00:45,021+916
